Code,Name,ICAO,IATA,PositioningFlightPattern,CharterFlightPattern
AHX,Amakusa Airlines,AHX,MZ,,
AHY,Azerbaijan Airlines,AHY,J2,,
AIA,Amelia,AIA,8R,,
AIB,Airbus Industrie,AIB,AP,,
AIC,Air India,AIC,AI,,
AIE,Air Inuit,AIE,,,
AIF,Compañía Aérea de Valencia,AIF,,,
AIG,Air Inter Gabon,AIG,,,
AIH,Air Incheon,AIH,KJ,,
AII,Air Integra,AII,,,
AIJ,ABC Aerolíneas,AIJ,,,
AIK,African Airlines International Limited,AIK,,,
AIL,Air Illinois,AIL,,,
AIM,Trabajos Aéreos Murcianos,AIM,,,
AIN,African International Airways,AIN,,,
AIO,United States Air Force,AIO,,,
AIP,Alpine Air Express,AIP,5A,,
AIQ,Thai AirAsia,AIQ,FD,,
AIR,Airlift International,AIR,,,
AIS,Air Sureste,AIS,,,
AIT,Airest,AIT,,,
AIU,Alicante Internacional Airlines,AIU,,,
AIV,Airvias S/A Linhas Aéreas,AIV,,,
AIW,Atlantic Island Airways,AIW,,,
AIX,Aircruising Australia,AIX,,,
AIY,Aircrew Check and Training Australia,AIY,,,
AIZ,Arkia Israel Airlines,AIZ,IZ,,
AJB,Aero JBR,AJB,,,
AJC,Bar Harbor Airlines,AJC,,,
AJD,Vista Georgia,AJD,GT,,
AJE,Aero Jet Express,AJE,,,
AJF,Avia Consult Flugbetriebs,AJF,,,
AJH,Aeroaljarafe,AJH,,,
AJI,Ameristar Jet Charter,AJI,,,
AJJ,A2 Jet Leasing,AJJ,,,
AJK,Allied Air,AJK,4W,,
AJM,Air Jamaica,AJM,JM,,
AJO,Aero Ejecutivo,AJO,,,
AJP,Aero Jets Corporativos,AJP,,,
AJR,A-Jet Aviation Company,AJR,,,
AJS,Aeroejecutivos Colombia,AJS,,,
AJT,Amerijet International,AJT,M6,,
AJU,Air Jetsul,AJU,,,
AJV,ANA &amp; JP Express,AJV,,,
AJW,Alpha Jet International,AJW,,,
AJX,Air Japan,AJX,NQ,,
AJY,Ajet,AJY,,,
AKA,Air Korea,AKA,,,
AKB,Aktjubavia,AKB,,,
AKC,Asialink Cargo Express,AKC,KP,,
AKF,Anikay Air Company,AKF,,,
AKG,No. 84 Squadron RAF,AKG,,,
AKH,Akhal,AKH,,,
AKI,Ibk-Petra,AKI,,,
AKJ,Akasa Air,AKJ,QP,,
AKK,Aklak Air,AKK,,,.*
AKL,Air Kiribati,AKL,4A,,
AKM,Mak Air,AKM,,,
AKN,Alkan Air,AKN,,,
AKR,Aero Clinker,AKR,,,
AKT,Canadian North,AKT,5T,,
AKW,Angkor Airways,AKW,,,
AKX,ANA Wings,AKX,EH,,
AKY,Yak-Service,AKY,,,
AKZ,AK Navigator LLC,AKZ,,,
ALB,Aero Albatros,ALB,,,
ALC,"Southern Jersey Airways, Inc.",ALC,,,
ALD,Air Leisure,ALD,AL,,
ALE,Alliance Executive Jets,ALE,,,.*
ALF,Allied Command Europe (Mobile Force),ALF,,,
ALG,Air Logistics,ALG,,,
ALJ,Heli Ambulance Team,ALJ,,,
ALK,SriLankan Airlines,ALK,UL,,
ALL,Aerovallarta,ALL,,,
ALM,Air ALM,ALM,,,
ALN,Air Lincoln,ALN,,,
ALO,Allegheny Commuter Airlines,ALO,,,
ALP,Allpoints Jet,ALP,,,
ALQ,Altair Aviation (1986),ALQ,,,
ALR,Líneas Aéreas Alaire S.L.,ALR,,,
ALS,Aeralp,ALS,,,
ALT,Aerolíneas Centrales,ALT,,,
ALU,Air Luxor STP,ALU,,,
ALV,Aeropostal Alas de Venezuela,ALV,VH,,
ALW,"Alas Nacionales, S.A.",ALW,,,
ALY,Alas Uruguay,ALY,YZ,,
ALZ,Alta Flights (Charters) Ltd.,ALZ,,,
AMA,Moalem Aviation,AMA,2Y,,
AMB,Deutsche Rettungsflugwacht,AMB,1I,,
AMC,Air Malta,AMC,KM,,
AME,Spanish Air Force,AME,,,
AMF,Ameriflight,AMF,A8,,
AMG,Air Minas Linhas Aéreas,AMG,,,
AMH,Alan Mann Helicopters Ltd.,AMH,,,
AMI,Air Maldives,AMI,,,
AMJ,Amjet Executive,AMJ,,,
AMK,Amerer Air,AMK,,,
AML,Air Malawi,AML,QM,,
AMM,Aeroputul International Marculesti,AMM,,,
AMN,Air Montenegro,AMN,,,
AMO,Air Montreal (Air Holdings Inc.),AMO,,,
AMP,Aero Transporte S.A. (ATSA),AMP,,,
AMQ,AMC Aviation,AMQ,,,^8A$
AMR,Air Specialties Corporation,AMR,,,
AMS,Air Muskoka,AMS,,,
AMU,Air Macau,AMU,NX,,
AMV,AMC Airlines,AMV,,,
AMW,Armenia Airways,AMW,6A,,
AMX,Aeroméxico,AMX,AM,,
AMY,Air Ambar,AMY,,,
AMZ,Amiya Airline,AMZ,,,
ANA,All Nippon Airways,ANA,NH,,
ANB,Air Navigation And Trading Co. Ltd.,ANB,,,
ANC,Anglo Cargo,ANC,,,
AND,National Jet Service,AND,,,
ANE,Air Nostrum,ANE,YW,,
ANG,Air Niugini,ANG,PX,,
ANH,Alajnihah for Air Transport,ANH,,,
ANI,Air Atlantic (Nig) Limited,ANI,,,
ANK,Aero Nomad,ANK,KA,,
ANL,Nacoia Lda,ANL,,,
ANM,Aerotransportacion de Norteamerica,ANM,,,
ANO,Airnorth,ANO,TL,,
ANQ,Aerolínea de Antioquia,ANQ,,,
ANR,Yanair,ANR,YE,,
ANS,Andes Líneas Aéreas,ANS,OY,,
ANT,Air North Charter - Canada,ANT,4N,,
ANV,Air Nevada,ANV,,,
ANW,"Aviación Del Noroeste, S.A. de C.V.",ANW,,,
ANX,Secretaria de Marina,ANX,,,
ANZ,Air New Zealand,ANZ,NZ,,
AOA,Air Ocean Airlines,AOA,,,
AOB,Aerocaribe Coro,AOB,,,
AOC,AVCOM,AOC,J6,,
AOD,Aero Vodochody,AOD,,,
AOE,Air One Executive,AOE,,,
AOF,Atair Pty Ltd.,AOF,,,
AOJ,Avcon Jet,AOJ,,,.*
AOL,Angkor Airlines,AOL,,,
AON,Aero Entreprise,AON,,,
AOO,"As, Opened Joint Stock Company",AOO,,,
AOP,Aeropiloto,AOP,,,
AOR,Afro International Ent. Limited,AOR,,,
AOS,"Servicios Aéreos Del Sol, S.A. de C.V.",AOS,,,
AOT,Asia Overnight Express,AOT,OE,,
AOU,Air Tractor,AOU,,,
AOV,Aero Vision,AOV,,,
AOX,Aerotaxi Del Valle,AOX,,,
APA,Air Park Aviation Ltd.,APA,,,
APC,"Airpac Airlines, Inc.",APC,,,
APD,Sabre Pacific,APD,1Z,,
APE,Parcel Express,APE,,,
APF,Amapola Flyg,APF,HP,,
APG,Philippines AirAsia,APG,Z2,,
APH,"Alpha Aviation, Inc.",APH,,,
API,"ASA Pesada, Lda.",API,,,
APJ,Peach,APJ,MM,,
APK,Air Peace,APK,P4,,
APL,"Appalachian Flying Service, Inc.",APL,,,
APM,"Airpac, Inc.",APM,,,
APO,Aeropro,APO,,,
APP,"Aerolíneas Pacífico Atlántico, S.A. (Apair)",APP,,,
APQ,Aspen Aviation,APQ,,,
APR,Aerolíneas Primordiales,APR,,,
APT,"LAP Colombia - Líneas Aéreas Petroleras, S.A.",APT,,,
APU,"Aeropuma, S.A.",APU,,,
APV,Air Plan International,APV,,,
APW,Arrow Air,APW,JW,,
APX,Naljets,APX,,,.*
APY,APA Internacional,APY,,,
APZ,Air Premia,APZ,YP,,
AQA,"Aeroatlas, S.A.",AQA,,,
AQL,Aquila Air Ltd.,AQL,,,
AQN,Air Queensland,AQN,,,
AQO,Aluminum Company Of America,AQO,,,
AQT,"Aviones de Renta de Quintana Roo, S.A. de C.V.",AQT,,,
AQU,AirQuarius Aviation,AQU,,,
AQZ,Aerodyne Charter Company,AQZ,,,
ARA,Arik Air,ARA,W3,,
ARB,Avia Air N.V.,ARB,,,
ARC,Air Routing International Corp.,ARC,,,
ARD,Aerocondor,ARD,2B,,
ARE,LAN Colombia,ARE,4C,,
ARG,Aerolíneas Argentinas,ARG,AR,,
ARH,Arrowhead Airways,ARH,,,
ARI,Aero Vics,ARI,,,
ARJ,"Aerojet de Costa Rica, S.A.",ARJ,,,
ARK,Aero Link Air Services S.L.,ARK,,,
ARL,Airlec Air Espace,ARL,,,
ARN,Aeronexus Corporate,ARN,,,.*
ARO,Acero Taxi,ARO,,,
ARP,Aero Corporate,ARP,,,
ARQ,"Armstrong Air, Inc.",ARQ,,,
ARR,Air Armenia,ARR,QN,,
ARS,Aeromet Servicios,ARS,,,
ART,SmartLynx Airlines,ART,6Y,,
ARU,Aruba Airlines,ARU,AG,,
ARV,Aravco Ltd.,ARV,,,
ARW,Aria,ARW,,,
ARX,"Air Xpress, Inc.",ARX,,,
ARY,Argosy Airways,ARY,,,
ARZ,Azur Air Germany,ARZ,UR,,
ASA,Alaska Airlines,ASA,AS,,
ASB,Air-Spray 1967 Ltd.,ASB,,,
ASC,Air Star Corporation,ASC,,,
ASD,Air Sinai,ASD,4D,,
ASE,Airstars,ASE,PL,,
ASF,Austrian Air Force,ASF,,,
ASG,African Star Airways (PTY) Ltd.,ASG,,,
ASH,Mesa Airlines,ASH,YV,,
ASI,"Aerosun International, Inc.",ASI,,,
ASJ,AstonJet,ASJ,,,.*
