Prefix,CountryISO2,HasHyphen,DecodeFullRegex,DecodeNoHyphenRegex,FormatTemplate
OH,FI,1,"OH-(?<code>[\dA-Z]{3,4})","OH(?<code>[\dA-Z]{3,4})",OH-{code}
OK,CZ,1,"OK-(?<code>[\dA-Z]{3,5})","OK(?<code>[\dA-Z]{3,5})",OK-{code}
OK,CZ,1,OK-(?<code>[A-Z]{3} \d{2}),OK(?<code>[A-Z]{3} \d{2}),OK-{code}
OM,SK,1,"OM-(?<code>[\dA-Z]{3,4})","OM(?<code>[\dA-Z]{3,4})",OM-{code}
OO,BE,1,OO-(?<code>[\dA-Z]{3}),OO(?<code>[\dA-Z]{3}),OO-{code}
OY,DK,1,"OY-(?<code>[\dA-Z]{2,4})","OY(?<code>[\dA-Z]{2,4})",OY-{code}
P,KP,1,P-(?<code>\d{3}),P(?<code>\d{3}),P-{code}
P2,PG,1,P2-(?<code>[A-Z]{3}),P2(?<code>[A-Z]{3}),P2-{code}
P4,AW,1,P4-(?<code>[A-Z]{3}),P4(?<code>[A-Z]{3}),P4-{code}
PH,NL,1,"PH-(?<code>[\dA-Z]{3,4})","PH(?<code>[\dA-Z]{3,4})",PH-{code}
PJ,XC,1,PJ-(?<code>[A-Z]{3}),PJ(?<code>[A-Z]{3}),PJ-{code}
PK,ID,1,PK-(?<code>[A-Z]{3}),PK(?<code>[A-Z]{3}),PK-{code}
PP,BR,1,PP-(?<code>[A-Z]{3}),PP(?<code>[A-Z]{3}),PP-{code}
PR,BR,1,PR-(?<code>[A-Z]{3}),PR(?<code>[A-Z]{3}),PR-{code}
PS,BR,1,PS-(?<code>[A-Z]{3}),PS(?<code>[A-Z]{3}),PS-{code}
PT,BR,1,PT-(?<code>[A-Z]{3}),PT(?<code>[A-Z]{3}),PT-{code}
PU,BR,1,PU-(?<code>[A-Z]{3}),PU(?<code>[A-Z]{3}),PU-{code}
PZ,SR,1,PZ-(?<code>[A-Z]{3}),PZ(?<code>[A-Z]{3}),PZ-{code}
RA,RU,1,RA-(?<code>[\dA-Z]{5}),RA(?<code>[\dA-Z]{5}),RA-{code}
RDPL,LA,1,RDPL-(?<code>\d{5}),RDPL(?<code>\d{5}),RDPL-{code}
RF,RU,1,RF-(?<code>\d{5}),RF(?<code>\d{5}),RF-{code}
RP,PH,1,RP-(?<code>\d{4}|[\dA-Z]{5}),RP(?<code>\d{4}|[\dA-Z]{5}),RP-{code}
S2,BD,1,S2-(?<code>[A-Z]{3}),S2(?<code>[A-Z]{3}),S2-{code}
S5,SI,1,S5-(?<code>[A-Z]{3}|\d{4}),S5(?<code>[A-Z]{3}|\d{4}),S5-{code}
S7,SC,1,S7-(?<code>[A-Z]{3}),S7(?<code>[A-Z]{3}),S7-{code}
S9,ST,1,S9-(?<code>[A-Z]{3}),S9(?<code>[A-Z]{3}),S9-{code}
SE,SE,1,SE-(?<code>[\dA-Z]{3}),SE(?<code>[\dA-Z]{3}),SE-{code}
SN,PL,1,SN-(?<code>\d{2}[A-Z]{2}),SN(?<code>\d{2}[A-Z]{2}),SN-{code}
SP,PL,1,"SP-(?<code>[\dA-Z]{3,4})","SP(?<code>[\dA-Z]{3,4})",SP-{code}
ST,SD,1,ST-(?<code>[A-Z]{3}),ST(?<code>[A-Z]{3}),ST-{code}
SU,EG,1,SU-(?<code>[A-XZ][A-Z]{2}|\d{3}),SU(?<code>[A-XZ][A-Z]{2}|\d{3}),SU-{code}
SU,PS,1,SU-Y(?<code>[A-Z]{2}),SUY(?<code>[A-Z]{2}),SU-Y{code}
SX,GR,1,SX-(?<code>[A-Z]{3}|\d{3}),SX(?<code>[A-Z]{3}|\d{3}),SX-{code}
T2,TV,1,T2-(?<code>[A-Z]{3}),T2(?<code>[A-Z]{3}),T2-{code}
T3,KI,1,T3-(?<code>[A-Z]{3}),T3(?<code>[A-Z]{3}),T3-{code}
T7,SM,1,"T7-(?<code>[\dA-Z]{3,5})","T7(?<code>[\dA-Z]{3,5})",T7-{code}
TC,TR,1,TC-(?<code>[A-Z]{3}),TC(?<code>[A-Z]{3}),TC-{code}
TF,IS,1,TF-(?<code>[\dA-Z]{3}),TF(?<code>[\dA-Z]{3}),TF-{code}
TG,GT,1,TG-(?<code>[A-Z]{3}),TG(?<code>[A-Z]{3}),TG-{code}
TI,CR,1,TI-(?<code>[\dA-Z]{3}),TI(?<code>[\dA-Z]{3}),TI-{code}
TJ,CM,1,TJ-(?<code>[A-Z]{3}),TJ(?<code>[A-Z]{3}),TJ-{code}
TL,CF,1,TL-(?<code>[A-Z]{3}),TL(?<code>[A-Z]{3}),TL-{code}
TN,CG,1,TN-(?<code>[A-Z]{3}),TN(?<code>[A-Z]{3}),TN-{code}
TR,GA,1,TR-(?<code>[A-Z]{3}),TR(?<code>[A-Z]{3}),TR-{code}
TS,TN,1,TS-(?<code>[A-Z]{3}),TS(?<code>[A-Z]{3}),TS-{code}
TT,TD,1,TT-(?<code>[A-Z]{3}),TT(?<code>[A-Z]{3}),TT-{code}
TU,CI,1,TU-(?<code>[A-Z]{3}),TU(?<code>[A-Z]{3}),TU-{code}
TY,BJ,1,TY-(?<code>[A-Z]{3}),TY(?<code>[A-Z]{3}),TY-{code}
TZ,ML,1,TZ-(?<code>[A-Z]{3}),TZ(?<code>[A-Z]{3}),TZ-{code}
UK,UZ,1,UK(?<code>\d{5}),UK(?<code>\d{5}),UK{code}
UP,KZ,1,UP-(?<code>[\dA-Z]{5}),UP(?<code>[\dA-Z]{5}),UP-{code}
UR,UA,1,"UR-(?<code>[A-Z]{3,4}|\d{5})","UR(?<code>[A-Z]{3,4}|\d{5})",UR-{code}
V2,AG,1,V2-(?<code>[A-Z]{3}),V2(?<code>[A-Z]{3}),V2-{code}
V3,BZ,1,V3-(?<code>[A-Z]{3}),V3(?<code>[A-Z]{3}),V3-{code}
V4,KN,1,V4-(?<code>[A-Z]{3}),V4(?<code>[A-Z]{3}),V4-{code}
V5,NA,1,V5-(?<code>[A-Z]{3}),V5(?<code>[A-Z]{3}),V5-{code}
V6,FM,1,V6-(?<code>[A-Z]{3}),V6(?<code>[A-Z]{3}),V6-{code}
V7,MH,1,V7-(?<code>\d{4}),V7(?<code>\d{4}),V7-{code}
V8,BN,1,V8-(?<code>[\dA-Z]{3}),V8(?<code>[\dA-Z]{3}),V8-{code}
VH,AU,1,VH-(?<code>[A-Z]{3}),VH(?<code>[A-Z]{3}),VH-{code}
VN,VN,1,VN-(?<code>[\dA-Z]{4}),VN(?<code>[\dA-Z]{4}),VN-{code}
VP,AI,1,VP-A(?<code>[A-Z]{2}),VPA(?<code>[A-Z]{2}),VP-A{code}
VP,BM,1,VP-B(?<code>[A-Z]{2}),VPB(?<code>[A-Z]{2}),VP-B{code}
VP,FK,1,VP-F(?<code>[A-Z]{2}),VPF(?<code>[A-Z]{2}),VP-F{code}
VP,GI,1,VP-G(?<code>[A-Z]{2}),VPG(?<code>[A-Z]{2}),VP-G{code}
VP,KY,1,VP-C(?<code>[A-Z]{2}),VPC(?<code>[A-Z]{2}),VP-C{code}
VP,MS,1,VP-M(?<code>[A-Z]{2}),VPM(?<code>[A-Z]{2}),VP-M{code}
VP,VG,1,VP-L(?<code>[A-Z]{2}),VPL(?<code>[A-Z]{2}),VP-L{code}
VQ,BM,1,VQ-B(?<code>[A-Z]{2}),VQB(?<code>[A-Z]{2}),VQ-B{code}
VQ,SH,1,VQ-H(?<code>[A-Z]{2}),VQH(?<code>[A-Z]{2}),VQ-H{code}
VQ,TC,1,VQ-T(?<code>[A-Z]{2}),VQT(?<code>[A-Z]{2}),VQ-T{code}
VT,IN,1,VT-(?<code>[A-Z]{3}),VT(?<code>[A-Z]{3}),VT-{code}
XA,MX,1,XA-(?<code>[A-Z]{3}),XA(?<code>[A-Z]{3}),XA-{code}
XB,MX,1,XB-(?<code>[A-Z]{3}),XB(?<code>[A-Z]{3}),XB-{code}
XC,MX,1,XC-(?<code>[A-Z]{3}),XC(?<code>[A-Z]{3}),XC-{code}
XT,BF,1,XT-(?<code>[A-Z]{3}),XT(?<code>[A-Z]{3}),XT-{code}
XU,KH,1,XU-(?<code>[\dA-Z]{3}),XU(?<code>[\dA-Z]{3}),XU-{code}
XY,MM,1,XY-(?<code>[A-Z]{3}),XY(?<code>[A-Z]{3}),XY-{code}
XZ,MM,1,XZ-(?<code>[A-Z]{3}),XZ(?<code>[A-Z]{3}),XZ-{code}
YA,AF,1,YA-(?<code>[A-Z]{3}),YA(?<code>[A-Z]{3}),YA-{code}
YI,IQ,1,YI-(?<code>[\dA-Z]{3}),YI(?<code>[\dA-Z]{3}),YI-{code}
YJ,VU,1,"YJ-(?<code>[\dA-Z]{3,4})","YJ(?<code>[\dA-Z]{3,4})",YJ-{code}
YK,SY,1,YK-(?<code>[A-Z]{3}),YK(?<code>[A-Z]{3}),YK-{code}
YL,LV,1,YL-(?<code>[\dA-Z]{3}),YL(?<code>[\dA-Z]{3}),YL-{code}
